1,0F00000000C8F30000C000FFFFFFFFFF,"Ngọc hỗn nguyên x1",https://test-api.muonline.io/box/items/honnguyenx1.png
1,0E0001000000000000E000FFFFFFFFFF,"Ngọc tâm linh x1",https://test-api.muonline.io/box/items/ngoctamlinhx1.png
1,0D0001000000000000E000FFFFFFFFFF,"Ngọc ước nguyện x1",https://test-api.muonline.io/box/items/ngocuocnguyenx1.png
1,100001000000000000E000FFFFFFFFFF,"Ngọc sinh mệnh x1",https://test-api.muonline.io/box/items/ngocsinhmenhx1.png
2,8D0000000000000000C000FFFFFFFFFF,"Cụm ngọc hỗn nguyên x10",https://test-api.muonline.io/box/items/honnguyenx10.png
2,1E0000000000000000C000FFFFFFFFFF,"Cụm ngọc ước nguyện x10 (siêu hiếm)",https://test-api.muonline.io/box/items/ngocuocnguyenx10.png
2,1F0000000000000000C000FFFFFFFFFF,"Cụm ngọc tâm linh x10 (hiếm)",https://test-api.muonline.io/box/items/ngoctamlinhx10.png
2,880000000000000000C000FFFFFFFFFF,"Cụm ngọc sinh mệnh x10",https://test-api.muonline.io/box/items/ngocsinhmenhx10.png
3,0E0801000000000000D000FFFFFFFFFF,"Lông vũ"
3,0E0000000000000000D000FFFFFFFFFF,"Huy hiệu hoàng tộc"
